timestamp,hmd_pos_x,hmd_pos_y,hmd_pos_z,hmd_rot_w,hmd_rot_x,hmd_rot_y,hmd_rot_z,left_controller_pos_x,left_controller_pos_y,left_controller_pos_z,left_controller_rot_w,left_controller_rot_x,left_controller_rot_y,left_controller_rot_z,right_controller_pos_x,right_controller_pos_y,right_controller_pos_z,right_controller_rot_w,right_controller_rot_x,right_controller_rot_y,right_controller_rot_z
0.01256943,0.03947669,1.14763,-0.09938065,0.9983963,0.006193419,0.05589312,0.006506572,-0.1407518,0.7875231,0.2095217,0.8927404,0.1189996,0.0506444,0.4316119,0.07419217,0.846015,0.1565616,0.9327435,-0.2001818,0.009764065,0.2997022
0.03256989,0.03945078,1.147521,-0.09941006,0.9983724,0.006350168,0.05629257,0.006580462,-0.1407329,0.7875082,0.2095609,0.892681,0.1191139,0.05081112,0.4316836,0.07422412,0.8457604,0.1565227,0.9314678,-0.2020873,0.01045472,0.302356
0.05256653,0.03944524,1.147515,-0.099493,0.9983616,0.006613993,0.05644545,0.006649818,-0.1407462,0.7874943,0.2095706,0.8926375,0.1191917,0.05081724,0.4317514,0.07430118,0.8458402,0.1564373,0.9314198,-0.2024024,0.0105199,0.3022911
0.07256699,0.03945984,1.147478,-0.09971323,0.9983531,0.006612796,0.05662687,0.006375825,-0.1407702,0.7874709,0.2095709,0.8925647,0.1193387,0.05081119,0.4318622,0.07473895,0.8459687,0.1563462,0.9317351,-0.2016588,0.01124447,0.3017897
0.09256744,0.03948442,1.147507,-0.0998043,0.9983475,0.0065205,0.05672989,0.006450505,-0.1407669,0.7874677,0.2095595,0.8925239,0.1194208,0.0507795,0.4319273,0.07507165,0.8458176,0.1564608,0.9317679,-0.2012836,0.01167332,0.3019224
0.1125679,0.03954734,1.147583,-0.09980121,0.998335,0.00655997,0.05695737,0.00632803,-0.140815,0.7874658,0.209528,0.8924243,0.1194766,0.05069711,0.4321273,0.07673292,0.8453698,0.1568706,0.9319352,-0.1994088,0.01531775,0.3024869
0.1325684,0.03957576,1.147586,-0.09986475,0.9983263,0.006667498,0.05709429,0.006353415,-0.1408221,0.7874659,0.2095241,0.8924152,0.1194693,0.05069124,0.4321489,0.0768948,0.8453395,0.1569159,0.9319934,-0.1991457,0.01563735,0.3024647
0.1525688,0.03959323,1.147643,-0.09990893,0.9983078,0.006515798,0.05742553,0.006433359,-0.1408488,0.7874675,0.2095093,0.8923257,0.1194364,0.05067376,0.4323447,0.07910001,0.8450338,0.1575106,0.932529,-0.1965259,0.02074073,0.3022203
0.1725693,0.03964124,1.147682,-0.1000889,0.9982907,0.00651216,0.05769715,0.00666737,-0.1407672,0.7874785,0.2095428,0.8923782,0.1193977,0.05058383,0.4322577,0.08255734,0.844885,0.1583598,0.9327323,-0.1934975,0.02698587,0.3030526
0.1925697,0.03963263,1.147693,-0.1001958,0.9982793,0.006425502,0.05789352,0.006737453,-0.140747,0.7874807,0.2095369,0.8924161,0.1194322,0.05061464,0.4321662,0.08432877,0.8448868,0.158604,0.9327282,-0.1922524,0.02934274,0.303638
0.2125702,0.03955968,1.147727,-0.1003857,0.998257,0.006434388,0.05825722,0.006896326,-0.140728,0.787474,0.2095266,0.8924882,0.1194826,0.05065128,0.4319991,0.08995193,0.8450192,0.1593101,0.9327477,-0.1892886,0.03458804,0.3048857
0.2325668,0.03949165,1.147749,-0.1004615,0.9982467,0.006447008,0.05843923,0.006846317,-0.1407407,0.7874646,0.2095236,0.8924726,0.1195078,0.05067229,0.432022,0.09359526,0.8451228,0.1598684,0.9331045,-0.186508,0.03967046,0.3048885
0.2525673,0.03939959,1.147799,-0.1006126,0.9982446,0.006387461,0.05847985,0.006857946,-0.1407604,0.7874569,0.2095186,0.8924367,0.1195351,0.05068468,0.4320871,0.1003836,0.8453374,0.1609108,0.9335749,-0.1824505,0.04951406,0.3044638
0.2725677,0.03912836,1.147871,-0.1005696,0.9982675,0.005896602,0.05814492,0.006823485,-0.1408157,0.7874271,0.2095003,0.8922688,0.1197408,0.05064599,0.4323813,0.1103003,0.8456306,0.162201,0.9333795,-0.1790705,0.06461807,0.3042383
0.2925682,0.03882919,1.1479,-0.1005814,0.9982845,0.005785725,0.05783403,0.007059381,-0.1407833,0.7874258,0.2094857,0.8921964,0.1198913,0.05067642,0.4324855,0.1229944,0.8453798,0.163555,0.9325827,-0.1730623,0.08057924,0.3063429
0.3125687,0.03868508,1.147937,-0.1005171,0.9982929,0.00572273,0.05768759,0.00711532,-0.1407776,0.7874359,0.2094631,0.8921899,0.1198937,0.05074607,0.43249,0.1304992,0.8452014,0.1641553,0.9317533,-0.1692798,0.09064829,0.3081608
0.3325691,0.03853932,1.147977,-0.100412,0.9982976,0.005994934,0.0575137,0.007617885,-0.1407668,0.7874567,0.2094302,0.8922135,0.1198403,0.05091184,0.4324365,0.1388583,0.84518,0.1645998,0.93097,-0.1650564,0.1019668,0.30928
0.3525696,0.03828764,1.147868,-0.1002774,0.9982861,0.006057662,0.05767679,0.007840386,-0.140715,0.7874709,0.2094681,0.8922995,0.1197904,0.05134196,0.4322221,0.1556562,0.8452945,0.1652304,0.9293371,-0.1571845,0.1248543,0.3098983
0.37257,0.03818796,1.147803,-0.1001983,0.9982822,0.006227557,0.05768958,0.008112059,-0.140669,0.7874659,0.2095147,0.8923489,0.119844,0.05159773,0.4320746,0.164383,0.8453839,0.1653887,0.9286242,-0.1521313,0.1372339,0.3093217
0.3925667,0.03801361,1.147679,-0.09998211,0.998266,0.006690415,0.05787524,0.008411656,-0.1405603,0.7874602,0.2095705,0.8924522,0.1200566,0.05191547,0.4317642,0.1826441,0.8458571,0.164426,0.9252247,-0.1458572,0.1617109,0.3107002
0.4125671,0.03791362,1.147627,-0.09989753,0.9982616,0.006678906,0.05792435,0.008607608,-0.1405554,0.7874578,0.2095708,0.8924547,0.1200623,0.05190001,0.4317592,0.1908242,0.8459656,0.1642619,0.9237253,-0.1418176,0.1726758,0.3111309
0.4325676,0.03774924,1.147524,-0.09961978,0.9982423,0.006580007,0.05822062,0.008918705,-0.1405184,0.7874619,0.209586,0.8924461,0.1198585,0.05245008,0.4317672,0.2098107,0.8456145,0.1625051,0.9195032,-0.1291273,0.1981329,0.3139801
0.4525681,0.03773002,1.147528,-0.09946875,0.9982345,0.006713616,0.05837785,0.008656463,-0.1405253,0.7874594,0.2095749,0.8923684,0.119738,0.05266926,0.4319345,0.2190787,0.8454638,0.1613303,0.9161406,-0.1244424,0.2120366,0.3166085
0.4725685,0.03770316,1.147521,-0.09934428,0.9982265,0.006814129,0.05847855,0.008813986,-0.1405252,0.787463,0.2095692,0.8924165,0.1197066,0.05265387,0.4318455,0.2278195,0.8453864,0.1603082,0.9129485,-0.1202588,0.2251777,0.3183675
