timestamp,hmd_pos_x,hmd_pos_y,hmd_pos_z,hmd_rot_w,hmd_rot_x,hmd_rot_y,hmd_rot_z,left_controller_pos_x,left_controller_pos_y,left_controller_pos_z,left_controller_rot_w,left_controller_rot_x,left_controller_rot_y,left_controller_rot_z,right_controller_pos_x,right_controller_pos_y,right_controller_pos_z,right_controller_rot_w,right_controller_rot_x,right_controller_rot_y,right_controller_rot_z
0.01800346,0.03178228,1.147198,-0.09400689,0.9983494,0.01096715,0.05392774,-0.01642835,-0.1375328,0.789256,0.209312,0.9024295,0.1164858,0.04849711,0.4119468,0.1005637,0.8764345,0.1910537,0.9572215,-0.1526722,0.03406351,0.2434295
0.03800392,0.03169126,1.14715,-0.09408507,0.9983349,0.01121376,0.05418965,-0.01628288,-0.1375417,0.7892494,0.2093202,0.9024368,0.1164689,0.04850731,0.4119343,0.1007706,0.8768328,0.1910617,0.9570833,-0.1540726,0.03469601,0.2430009
0.05800438,0.03156384,1.147123,-0.09421714,0.9983479,0.01123912,0.05396175,-0.01622685,-0.1374924,0.789274,0.2093106,0.9025459,0.1163784,0.04865187,0.4117038,0.1012184,0.8780593,0.19135,0.9563412,-0.1553524,0.03657455,0.2448253
0.07800293,0.03148045,1.147183,-0.09426538,0.9983525,0.01108184,0.05389681,-0.01627025,-0.1375045,0.789254,0.2093187,0.9025867,0.1163337,0.04871851,0.4116191,0.1014365,0.8786218,0.1914632,0.9560378,-0.1556903,0.03693723,0.2457396
0.09800339,0.03136325,1.147319,-0.09441918,0.9983504,0.01067925,0.05397343,-0.01641387,-0.1375384,0.7892175,0.2093306,0.9026297,0.1162666,0.04880961,0.411533,0.1024311,0.8806401,0.1919424,0.9556224,-0.1565351,0.03891502,0.2465123
0.1180038,0.03133028,1.147325,-0.09451355,0.9983413,0.01053107,0.05416846,-0.0164203,-0.1375536,0.7892253,0.209319,0.9026178,0.1162016,0.04878907,0.4115799,0.1028796,0.8815154,0.1921832,0.9554599,-0.1570833,0.0398198,0.2466487
0.1380043,0.03129261,1.147338,-0.09459171,0.9983354,0.0105469,0.05423578,-0.01654351,-0.1375579,0.7892263,0.2093168,0.9026125,0.1161855,0.04878211,0.4115967,0.103118,0.8819842,0.1923197,0.9553669,-0.1573639,0.04022228,0.2467648
0.1580029,0.03124125,1.147295,-0.09485508,0.9983249,0.01063864,0.05445994,-0.01638172,-0.1376469,0.78918,0.2093042,0.9025438,0.1160579,0.04869061,0.4117944,0.1058898,0.8873781,0.1939778,0.9539622,-0.1610023,0.04549623,0.2489267
0.1780033,0.03127855,1.147228,-0.09500796,0.9983346,0.01070067,0.05426931,-0.01638041,-0.1376869,0.789154,0.2092839,0.9025478,0.1160024,0.04864169,0.4118068,0.1092483,0.8935616,0.1960733,0.9518988,-0.1675468,0.05303212,0.2510069
0.1980038,0.03127972,1.147174,-0.09512272,0.9983948,0.0105631,0.05328112,-0.01604336,-0.1377016,0.7891437,0.2092417,0.9025564,0.1159485,0.04865847,0.4118013,0.1132642,0.9021839,0.1989106,0.9487325,-0.1775821,0.06509978,0.2532456
0.2180042,0.03126197,1.147118,-0.09515005,0.9984077,0.01073635,0.05299661,-0.01606856,-0.1377138,0.7891167,0.2092302,0.902553,0.1159329,0.04869321,0.4118091,0.1155991,0.9071895,0.2003164,0.9469297,-0.1832053,0.07086241,0.2544376
0.2380028,0.03132601,1.146944,-0.09511375,0.9983943,0.01159541,0.05288516,-0.01666036,-0.1377155,0.7890498,0.209208,0.9025445,0.1161218,0.04873438,0.4117695,0.1218248,0.9207307,0.2032627,0.9424362,-0.1982032,0.08537672,0.2554221
0.2580032,0.03138435,1.146877,-0.09503854,0.9984028,0.01181448,0.0526487,-0.01674395,-0.1377031,0.7890243,0.2091999,0.9025282,0.11632,0.04874663,0.411748,0.125385,0.9285849,0.2047384,0.9402065,-0.2064151,0.09369599,0.2542155
0.2780037,0.03158071,1.146867,-0.09482565,0.9983663,0.0127718,0.05306773,-0.01689607,-0.1376932,0.7890022,0.2091765,0.9025255,0.116545,0.04884832,0.411678,0.1335724,0.9461152,0.2071327,0.9371171,-0.2212912,0.1166986,0.2433582
0.2980042,0.03174003,1.146824,-0.09472059,0.9983431,0.0131827,0.0532822,-0.01727445,-0.137671,0.788983,0.2091746,0.9025219,0.1167426,0.04895465,0.4116173,0.1375773,0.9548166,0.2079615,0.9356101,-0.2281558,0.1271261,0.2375241
0.3180046,0.03190008,1.146796,-0.09462328,0.9983174,0.01364138,0.05362713,-0.01733403,-0.1376465,0.7889647,0.2091793,0.9025373,0.1168982,0.04897569,0.4115369,0.1413628,0.9635213,0.2084552,0.9330595,-0.2369816,0.1367352,0.2335449
0.3380032,0.03221957,1.146825,-0.09444433,0.9982545,0.01420567,0.05466413,-0.01726439,-0.1375966,0.7889315,0.2091841,0.9025779,0.1172464,0.04910923,0.4113329,0.1483046,0.980326,0.2083236,0.926694,-0.2554972,0.1529899,0.2292459
