timestamp,hmd_pos_x,hmd_pos_y,hmd_pos_z,hmd_rot_w,hmd_rot_x,hmd_rot_y,hmd_rot_z,left_controller_pos_x,left_controller_pos_y,left_controller_pos_z,left_controller_rot_w,left_controller_rot_x,left_controller_rot_y,left_controller_rot_z,right_controller_pos_x,right_controller_pos_y,right_controller_pos_z,right_controller_rot_w,right_controller_rot_x,right_controller_rot_y,right_controller_rot_z
0.01055145,0.064281,1.148576,-0.114259,0.9954064,-0.001088739,0.09293661,-0.02296999,-0.1827657,0.7883686,0.1832708,0.9430129,0.0786057,-0.2626646,0.1885606,0.09512046,1.094951,0.2174084,0.9567592,-0.2847681,0.05925039,0.002894236
0.03055191,0.063894,1.148415,-0.114175,0.9955571,-3.730513E-05,0.09122407,-0.02332852,-0.1828202,0.7883498,0.1832405,0.9430218,0.07856839,-0.2625342,0.1887134,0.09521915,1.094722,0.2167134,0.9552255,-0.2910056,0.05341713,-0.002587013
0.05055046,0.06367655,1.148342,-0.1141267,0.9956253,0.000452519,0.09038723,-0.02366807,-0.1828283,0.7883439,0.18324,0.9430364,0.07856822,-0.2624128,0.1888091,0.09523369,1.094857,0.217087,0.9555193,-0.2895296,0.05617488,-0.0001713182
0.07055092,0.06336333,1.148301,-0.1139581,0.9957333,0.0004670168,0.08927646,-0.02334007,-0.1828555,0.7883411,0.1832694,0.9430279,0.07868669,-0.2622747,0.1889945,0.09520888,1.094865,0.2170592,0.9552837,-0.290343,0.05597889,-0.0006053552
0.09055138,0.06328239,1.148352,-0.1138473,0.9957517,0.0003557455,0.08918956,-0.02288437,-0.1828822,0.7883496,0.1832944,0.9429908,0.0787521,-0.2623507,0.1890465,0.09520744,1.094863,0.2171135,0.9553736,-0.2900716,0.05584699,-0.0008647455
0.1105518,0.06320629,1.148375,-0.1138475,0.995721,0.0004533723,0.08966359,-0.02236024,-0.1829028,0.7883503,0.1833055,0.942955,0.0787781,-0.2624546,0.1890702,0.09515443,1.094857,0.2171069,0.955523,-0.2896665,0.05538519,-0.001283775
0.1305504,0.06314632,1.148437,-0.1138888,0.9956855,0.000331681,0.09020297,-0.02176731,-0.1829243,0.7883539,0.1832911,0.9429389,0.07873147,-0.2625279,0.1890681,0.09501427,1.094856,0.2170373,0.9555817,-0.2895669,0.05489406,-0.001162169
0.1505508,0.06312721,1.148472,-0.113908,0.9956686,0.0002887076,0.09037784,-0.02181165,-0.1829344,0.7883753,0.1832779,0.9429578,0.07866031,-0.2624839,0.1890642,0.09497088,1.094844,0.2170104,0.9556149,-0.2895061,0.05463587,-0.00114509
0.1705513,0.06311563,1.148509,-0.1139,0.9956561,0.0002141531,0.09056076,-0.02162579,-0.1829627,0.7884145,0.1832475,0.9429928,0.07846444,-0.2623853,0.189108,0.09489439,1.094828,0.2169819,0.9556724,-0.2894255,0.05405401,-0.001191439
0.1905518,0.06312609,1.148496,-0.1138846,0.9956539,0.0001872343,0.09055841,-0.02173566,-0.1829835,0.7884161,0.183238,0.9429762,0.07843556,-0.2624063,0.1891734,0.09485173,1.09481,0.2169999,0.955739,-0.2892518,0.05380299,-0.001273065
0.2105503,0.06305386,1.148484,-0.1139232,0.9956481,9.941363E-05,0.09057781,-0.02192241,-0.1830597,0.7884346,0.1832203,0.942905,0.07841405,-0.2624979,0.1894104,0.09482465,1.094648,0.217108,0.9558711,-0.2888282,0.05373162,-0.00129252
0.2305508,0.06300983,1.148487,-0.1139348,0.9956473,0.0001156118,0.09059103,-0.0219065,-0.1830742,0.7884407,0.1832161,0.9428859,0.07840366,-0.2625452,0.189444,0.09480311,1.09455,0.2171686,0.9559227,-0.2886482,0.05378332,-0.001170159
0.2505512,0.06293246,1.14848,-0.1139579,0.9956473,0.0001245539,0.09058646,-0.02192243,-0.1831025,0.7884519,0.1832054,0.9428543,0.07832371,-0.2626294,0.1895176,0.09471758,1.094266,0.2173315,0.9561051,-0.2880384,0.05381708,-0.0008393793
0.2705517,0.06288235,1.148483,-0.1139695,0.9956527,8.534927E-05,0.09057712,-0.02171248,-0.1831049,0.7884531,0.1832043,0.942854,0.07830957,-0.2626323,0.1895207,0.09470694,1.09423,0.2173456,0.9561183,-0.2879932,0.05382517,-0.0007963141
0.2905502,0.0628591,1.148456,-0.1139826,0.9956569,0.0001085106,0.09048831,-0.02189077,-0.1831181,0.7884594,0.1831978,0.9428477,0.07823274,-0.2626547,0.1895528,0.09463656,1.093968,0.2174383,0.956239,-0.2876428,0.05355603,-0.0006871407
