timestamp,hmd_pos_x,hmd_pos_y,hmd_pos_z,hmd_rot_w,hmd_rot_x,hmd_rot_y,hmd_rot_z,left_controller_pos_x,left_controller_pos_y,left_controller_pos_z,left_controller_rot_w,left_controller_rot_x,left_controller_rot_y,left_controller_rot_z,right_controller_pos_x,right_controller_pos_y,right_controller_pos_z,right_controller_rot_w,right_controller_rot_x,right_controller_rot_y,right_controller_rot_z
0.01635742,0.02675779,1.0981,-0.2288554,0.975692,-0.0476634,0.209691,-0.04222775,-0.1504045,0.7619948,0.03927734,0.9863443,-0.07646441,-0.1346639,-0.05606968,0.1803295,1.081081,0.0959261,0.8840996,-0.3935661,0.2472978,0.04813935
0.03636169,0.02676794,1.098073,-0.2287117,0.9757377,-0.04744863,0.2095575,-0.04207456,-0.1504302,0.7620176,0.0392821,0.9863456,-0.07643813,-0.1347038,-0.05598588,0.1802344,1.081014,0.09592208,0.8840849,-0.39366,0.2472325,0.04797649
0.05636597,0.0267811,1.097988,-0.2284228,0.975808,-0.04680171,0.2094061,-0.04192275,-0.1504302,0.7620176,0.0392821,0.9863456,-0.07643813,-0.1347038,-0.05598588,0.1802344,1.081014,0.09592208,0.8840849,-0.39366,0.2472325,0.04797649
0.07635498,0.02677438,1.097943,-0.2282829,0.9758601,-0.04658199,0.2092275,-0.0418472,-0.1504382,0.7620282,0.03928346,0.9863483,-0.07642499,-0.1347017,-0.05596188,0.1801405,1.08091,0.0959468,0.8841137,-0.3936717,0.2471372,0.04784229
0.09635925,0.0267177,1.097895,-0.2280663,0.9758402,-0.04629437,0.2094548,-0.04149032,-0.1504878,0.7620493,0.03936324,0.9863431,-0.07644551,-0.1347663,-0.05586948,0.1795654,1.079697,0.09593178,0.8846354,-0.3935665,0.24627,0.04332248
0.1163635,0.02673099,1.097832,-0.2279699,0.9758575,-0.04654306,0.2093833,-0.04116416,-0.1505259,0.7620412,0.0394076,0.9863195,-0.07651226,-0.1349172,-0.05583128,0.1794165,1.079309,0.09595919,0.8848096,-0.39281,0.2470351,0.04226127
0.1363525,0.02670678,1.097783,-0.2279199,0.9759729,-0.04596964,0.2090807,-0.0406072,-0.1506278,0.7619967,0.03949588,0.9862956,-0.07641381,-0.1353145,-0.05542443,0.178879,1.078402,0.09617154,0.8857293,-0.3916094,0.2457011,0.04191244
0.1563568,0.02666906,1.097689,-0.2276975,0.9760125,-0.04567704,0.2089894,-0.04045544,-0.1506384,0.7619916,0.03950397,0.9862967,-0.0763761,-0.135353,-0.05536356,0.178879,1.078402,0.09617154,0.8857293,-0.3916094,0.2457011,0.04191244
0.1763611,0.02654361,1.09748,-0.2279715,0.9761816,-0.04420912,0.2084543,-0.04076516,-0.1507613,0.761902,0.03962964,0.9863984,-0.0754284,-0.1356959,-0.05399482,0.1767734,1.074871,0.09726761,0.8889521,-0.3883437,0.2393429,0.04084538
0.1963654,0.02643737,1.097344,-0.2279363,0.9761954,-0.04381618,0.2084538,-0.0408617,-0.1507049,0.7619178,0.03962632,0.9863796,-0.07547687,-0.1356929,-0.05427817,0.1762399,1.073872,0.09765106,0.8898648,-0.3873785,0.2376788,0.03984114
0.2163544,0.02639507,1.097566,-0.2283018,0.9762225,-0.04501005,0.2080834,-0.04080663,-0.1504138,0.7620301,0.0394738,0.9863719,-0.0762629,-0.1348692,-0.05536011,0.1725814,1.067407,0.1010735,0.8945197,-0.3777241,0.2349091,0.04446091
0.2363586,0.02636659,1.097612,-0.2284038,0.9762304,-0.04505803,0.2080131,-0.04092215,-0.1503532,0.7620549,0.03939273,0.9864186,-0.07643821,-0.1344409,-0.05532829,0.1692855,1.063135,0.1031566,0.8972017,-0.3735522,0.2312649,0.04477234
0.2563629,0.02633698,1.097637,-0.228497,0.9762827,-0.04524555,0.2077172,-0.04097004,-0.1502779,0.7620478,0.03931121,0.986406,-0.07670396,-0.1342317,-0.05569221,0.1669227,1.060318,0.1042352,0.8994627,-0.3711189,0.2263734,0.04464035
